place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
BANK BTN KC PEKANBARU,ChIJexsI76au1TERfvSmQayPhGY,0.512274,101.4486575,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 54, 77, 84, 74, 58, 56, 60, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 54, 75, 78, 65, 54, 55, 59, 55, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 47, 69, 77, 67, 53, 49, 53, 51, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 51, 77, 81, 64, 50, 57, 65, 54, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 57, 94, 100, 69, 38, 47, 79, 68, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Happy Puppy,ChIJI4X9Y42r1TERI3V4hdkFlWA,0.535046,101.4231979,bar,"[18, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 7, 10, 11, 11, 15, 29, 44, 46, 37, 28]","[19, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5, 7, 10, 11, 11, 12, 19, 29, 34, 32, 26]","[20, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 5, 7, 9, 11, 13, 17, 25, 37, 45, 41, 31]","[24, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 8, 12, 16, 19, 21, 23, 31, 40, 43, 34]","[22, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 7, 9, 11, 14, 21, 32, 42, 51, 58, 56]","[39, 19, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9, 19, 31, 37, 36, 31, 36, 56, 84, 100, 88]","[58, 28, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11, 21, 32, 38, 40, 40, 44, 51, 54, 47, 32]"
PETERSELI KITCHEN,ChIJ-YOvERSs1TER1tk3upFhaLs,0.5104270000000001,101.454093,bar,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 14, 22, 26, 25, 21, 16, 16, 28, 45, 49, 35, 15]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 14, 18, 20, 25, 28, 24, 24, 37, 49, 44, 25, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 24, 28, 23, 19, 24, 29, 26, 33, 54, 61, 42, 18]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 19, 24, 28, 30, 30, 29, 32, 40, 48, 45, 31, 14]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 11, 17, 22, 25, 26, 27, 34, 50, 67, 66, 46, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 18, 25, 32, 36, 37, 36, 40, 57, 86, 100, 78, 39]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10, 19, 29, 36, 39, 37, 37, 47, 61, 58, 37, 14]"
Happy Puppy Sudirman,ChIJrX9EVxKs1TERy1Pvkk4dJPA,0.4887462,101.4540202,bar,"[29, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6, 11, 17, 21, 24, 26, 29, 35, 42, 42, 35]","[22, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7, 14, 20, 22, 22, 24, 31, 45, 56, 55, 41]","[22, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 15, 22, 27, 29, 29, 28, 29, 36, 44, 46, 38]","[24, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 16, 24, 29, 27, 25, 27, 36, 48, 54, 51, 38]","[20, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 15, 23, 28, 29, 27, 27, 37, 57, 77, 80, 62]","[35, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 15, 30, 43, 46, 39, 34, 41, 63, 87, 100, 90]","[65, 37, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 12, 21, 30, 38, 41, 34, 27, 31, 46, 56, 49]"
Base Came Telkomsel,ChIJD83qBz2s1TERw0VjmFhUWHM,0.5268183000000001,101.4588479,bar,"[13, 10, 10, 8, 13, 19, 32, 52, 73, 84, 86, 78, 67, 58, 56, 56, 56, 54, 52, 47, 41, 36, 30, 23]","[17, 13, 10, 10, 13, 17, 30, 54, 80, 97, 95, 80, 60, 47, 43, 43, 43, 43, 43, 41, 36, 32, 28, 23]","[19, 15, 13, 10, 10, 13, 19, 32, 54, 69, 67, 52, 39, 34, 34, 34, 34, 32, 30, 28, 26, 23, 19, 17]","[15, 13, 10, 10, 8, 10, 21, 41, 60, 71, 71, 63, 56, 56, 56, 54, 50, 45, 39, 34, 32, 32, 30, 28]","[23, 19, 13, 10, 10, 15, 32, 63, 91, 100, 91, 80, 78, 80, 78, 69, 56, 43, 32, 26, 23, 23, 23, 23]","[21, 17, 15, 10, 8, 13, 28, 52, 76, 89, 80, 60, 41, 30, 26, 26, 26, 23, 21, 19, 15, 17, 21, 28]","[32, 28, 19, 10, 8, 6, 10, 23, 47, 60, 50, 34, 32, 36, 39, 34, 26, 19, 17, 15, 15, 13, 13, 13]"
NEW PARAGON KTV POOL & CAFE,ChIJJX3PK2us1TERVOX4W6ETvQg,0.5347780999999999,101.4534774,bar,"[32, 37, 40, 53, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 5, 8, 13, 18, 24]","[32, 42, 49, 44, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 5, 8, 11, 14, 19, 25]","[33, 42, 46, 43, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 4, 7, 9, 12, 15, 19, 25]","[33, 41, 45, 41, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 4, 5, 6, 9, 13, 19, 23, 28]","[39, 56, 66, 57, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 4, 4, 5, 7, 12, 19, 28, 37]","[48, 62, 71, 67, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 4, 6, 10, 17, 25, 35]","[52, 79, 100, 93, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 4, 5, 7, 10, 15, 23]"
Bier Haus Cafe,ChIJxb7ZvvKr1TERKLhwjiUNnOc,0.5329904999999999,101.4237857,bar,"[18, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 6, 8, 10, 12, 15, 19, 21, 20]","[14, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 5, 7, 10, 12, 16, 22, 32, 37, 30]","[18, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 24, 22]","[16, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 4, 5, 5, 8, 15, 31, 46, 49, 42]","[30, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 6, 6, 9, 14, 24, 36, 45, 48, 44]","[32, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 3, 3, 6, 19, 48, 82, 100, 96]","[78, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 5, 8, 10, 13, 16, 22, 29, 32, 28]"
Terminal 8,ChIJsWPnqLyu1TERctXbYsftvdE,0.5055955000000001,101.451216,bar,"[49, 28, 12, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 8, 11, 15, 16, 16, 15, 16, 24, 39, 55, 61]","[52, 33, 15, 0, 0, 0, 0, 0, 0, 0, 2, 5, 10, 14, 17, 16, 12, 8, 4, 6, 19, 38, 48, 50]","[49, 35, 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 6, 10, 14, 16, 15, 12, 9, 9, 17, 32, 51, 62]","[56, 38, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 12, 15, 16, 16, 17, 18, 18, 21, 34, 53, 64]","[55, 33, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 21, 27, 27, 24, 18, 12, 9, 15, 31, 53, 68]","[65, 46, 24, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10, 18, 26, 28, 24, 17, 11, 12, 23, 47, 77, 99]","[100, 78, 48, 23, 0, 0, 0, 0, 0, 0, 0, 3, 9, 16, 25, 35, 36, 26, 15, 12, 23, 42, 60, 63]"
Brown Salon,ChIJk0pCUxKs1TER6deV7WAfOpU,0.531199,101.448033,beauty_salon,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 61, 56, 52, 56, 59, 52, 38, 29, 22, 13, 6, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 36, 43, 50, 56, 61, 61, 50, 29, 13, 4, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 68, 70, 72, 86, 100, 88, 54, 22, 6, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 68, 61, 47, 50, 61, 59, 38, 15, 4, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 50, 63, 72, 75, 65, 52, 36, 22, 13, 6, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 34, 40, 40, 40, 38, 36, 31, 22, 13, 6, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 70, 86, 81, 68, 61, 59, 45, 25, 15, 13, 6, 0, 0]"
Toko Buku Gramedia - Pekanbaru,ChIJn5vmlbyu1TERMsSjQhzSOEM,0.5101001000000001,101.4498796,book_store,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 26, 31, 33, 35, 40, 42, 38, 37, 58, 54, 17, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19, 31, 38, 38, 38, 42, 46, 44, 41, 58, 59, 19, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 23, 32, 38, 40, 43, 47, 47, 42, 53, 58, 23, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 32, 35, 31, 30, 39, 47, 42, 32, 49, 64, 27, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 23, 27, 27, 30, 39, 49, 52, 45, 36, 51, 56, 20, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 27, 45, 60, 69, 73, 78, 80, 74, 63, 74, 100, 59, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 42, 68, 81, 80, 79, 89, 98, 88, 68, 83, 92, 33, 0, 0]"
