,place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
16,Danamon KC WAHID HASYIM,ChIJEyqnQRKs1TERya0An_4EkhI,0.5272717,101.4481716,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 52, 79, 84, 69, 56, 53, 57, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 46, 75, 85, 70, 52, 46, 53, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 40, 68, 77, 64, 50, 49, 55, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 41, 72, 80, 60, 40, 39, 50, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 54, 95, 100, 67, 41, 42, 57, 67, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,Bank Permata - Sudirman,ChIJn5vmlbyu1TER9KAaL6_kOPI,0.5006010000000001,101.452951,bank,,,,,,,
18,Mandiri KCP Pekanbaru Ahmad Yani,ChIJo_t6Ww6s1TER_mgpi_PrG90,0.5195924,101.44427009999998,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 57, 77, 85, 79, 73, 67, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 75, 89, 83, 75, 71, 73, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 71, 63, 69, 71, 69, 73, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 100, 75, 79, 87, 77, 61, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 83, 91, 73, 46, 38, 48, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,Mandiri Pekanbaru Jalan Riau,ChIJL-gB6Yqr1TERJ5YF0ui5ja8,0.5351117,101.43770740000001,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 52, 82, 80, 71, 71, 68, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 53, 86, 65, 59, 66, 63, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 46, 85, 82, 58, 55, 62, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 52, 79, 62, 43, 59, 70, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 40, 85, 100, 68, 50, 67, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,Bank BNI Syariah KCP Panam,ChIJSfptz_Oo1TERYlFeYarvQBY,0.4639601,101.3972177,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 65, 95, 96, 75, 70, 87, 86, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 57, 83, 89, 74, 59, 65, 75, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 61, 100, 96, 60, 44, 71, 94, 70, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 54, 82, 83, 60, 45, 59, 73, 54, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 31, 57, 71, 62, 41, 27, 52, 80, 34, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,CDM CIMB NIAGA (Pekanbaru Duri),ChIJBQLtzNWt1TERsZEe62QVHqk,0.517473,101.484064,bank,,,,,,,
22,Bank Syariah Mandiri KCP Pekanbaru Sudirman Bawah,ChIJn46FShKs1TER6f57XUZCj3o,0.5304854,101.44780820000001,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 77, 100, 80, 46, 37, 51, 54, 40, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 71, 75, 50, 36, 49, 61, 53, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 42, 51, 51, 45, 40, 38, 38, 36, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 66, 92, 66, 35, 35, 50, 62, 61, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 59, 81, 75, 49, 36, 45, 55, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,BNI Life,ChIJs28JWASs1TERTeqy_9C_CB0,0.521651,101.442418,bank,,,,,,,
24,Mandiri Micro Business Unit Pekanbaru Sudirman Bawah,ChIJn5vmlbyu1TERGsFoCdVFR1Y,0.496853,101.4564464,bank,,,,,,,
25,Bank Mandiri - KCP Pekanbaru Panam,ChIJNVYGCUSo1TER8Iyg616RTp4,0.46378909999999995,101.4097403,bank,"[0, 0, 0, 0, 0, 0, 0, 36, 63, 86, 100, 97, 91, 82, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 28, 52, 76, 91, 91, 76, 76, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 39, 56, 71, 76, 71, 78, 80, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 39, 65, 89, 95, 86, 69, 54, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 34, 63, 86, 93, 89, 84, 82, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
