,place_name,place_id,lat,lng,type
53,Inasa Cosmetic Dan Laser Clinic,ChIJYz4IcxGs1TERU9NdqBm7_tU,0.5284595000000001,101.4488489,beauty_salon
54,waxing corner,ChIJq52FVZ6u1TERPhQQdP1rXDY,0.513012,101.459688,beauty_salon
55,Marie France Bodyline - Pekanbaru,ChIJPcFM7Eap1TERLQehcOvH6hI,0.5001289999999999,101.418829,beauty_salon
56,Impression Pekanbaru,ChIJLxl-6h-s1TERJanDw6dDe6o,0.508322,101.476509,beauty_salon
57,Nike,ChIJ74WS_QGs1TERynUfDjrFTQw,0.515377,101.43914,beauty_salon
58,Permaisuri,ChIJJ5A9PwKs1TER3J5jt5iLZUI,0.5166507,101.4409329,beauty_salon
59,Vivi Salon,ChIJhQWTHwSs1TERd1w5Ez0G3UY,0.5211418999999999,101.439666,beauty_salon
60,Salon Rudy & Spa RHO,ChIJvU2FaRCs1TERGyDDsDOa1Rk,0.5256367,101.4470898,beauty_salon
61,Sanggar Diza,ChIJl49gQ-2u1TERiQEF13yfwZQ,0.4959071,101.4670467,beauty_salon
62,Brown Salon,ChIJk0pCUxKs1TER6deV7WAfOpU,0.531199,101.448033,beauty_salon
63,Johnny Andrean,ChIJG6pOGhOs1TERffds1_VhApo,0.5323143,101.4486659,beauty_salon
64,Dahlia Salon,ChIJnxqE6vmr1TERA3QSXLawOoQ,0.5236876,101.4296186,beauty_salon
65,Maxx By Rudy Hadisuwarno,ChIJa8eCYROs1TERI3FUzuctJDU,0.5323252999999999,101.4528598,beauty_salon
66,Indra Salon,ChIJg9oX8Tus1TERS8DAMu4QRAQ,0.5284267,101.4627554,beauty_salon
67,Mom n Jo Pekanbaru (Mom-Baby-Kid Centre),ChIJEUWk8tiu1TERAr_sUP5N3eE,0.4794330000000001,101.448929,beauty_salon
68,Johnny Andrean,ChIJAyDWx0ap1TERu48wzkGnaOI,0.5002028,101.4175917,beauty_salon
69,dr. Chen Skin Care,ChIJ93cJs0ap1TERg8m9xX_QeMQ,0.5007079999999999,101.417048,beauty_salon
70,My Salon,ChIJAyDWx0ap1TERcUkK_46u714,0.5002028,101.4175917,beauty_salon
71,Rudy Salon,ChIJyeZAO0qs1TERHME_X9owmaU,0.535318,101.4744527,beauty_salon
72,Toko Buku Gramedia - Pekanbaru,ChIJn5vmlbyu1TERMsSjQhzSOEM,0.5101001000000001,101.4498796,book_store
73,Bookstore Zanafa,ChIJjcHMLFmo1TER5gukebmKRwo,0.4644452999999999,101.3852567,book_store
74,Tiga Serangkai,ChIJta0o5Kuu1TERuXnRgMLuu9k,0.511558,101.439103,book_store
75,Toko Buku Karisma Mandau City,ChIJ4w5hgAGs1TERgjm5EoEonQA,0.51752,101.439519,book_store
76,toko buku yasperin,ChIJM7uy202p1TERBRH2gKTTLb8,0.5045050000000001,101.428722,book_store
77,Gramedia,ChIJyz2A-xKs1TERcR2T1-fPWw8,0.5318788,101.4478089,book_store
78,Outlet JET Express Jack Agency,ChIJP6vgXwys1TERjoGULPetgGA,0.5314797,101.4410346,book_store
79,Paper Clip Ciputra Seraya,ChIJ1_9dFIur1TERylT7oO4JaDw,0.535265,101.429856,book_store
80,Karisma Mall Ciputra Seraya Pekanbaru,ChIJxR4kD4ur1TERBQ-KwpHYZTA,0.535866,101.430212,book_store
81,Mentari Books Indonesia,ChIJr3CLLPOr1TERg-hIyv0dX5w,0.533768,101.425832,book_store
82,Toko Muazzam,ChIJHcXDuWCp1TERyJEqFwY4fMQ,0.5114508,101.4101857,book_store
83,Agen Distributor Pro-U Media,ChIJg6Cgl9ao1TERBcE7h-7gwbs,0.4750037,101.4274858,book_store
84,Aksara,ChIJB9gSuEKu1TERxaB0f7CPq_4,0.4954741,101.4915201,book_store
85,Al Mumtaz,ChIJhwvyG_So1TERs7EZamIMYL4,0.4599603,101.3600189,book_store
86,AZMAR FOTOCOPY,ChIJ9___WJdO1DERt4jk6o70Btw,0.6736778999999999,101.5877454,book_store
87,Parker,ChIJ_-eAxZLE1TERiEt8r_C0WQs,0.3835919,101.8577242,book_store
88,Toko Buku ALFIRA,ChIJp45sJ7uu1TERcg7yPy_9lgg,0.5050699,101.4461957,book_store
89,Major book,ChIJYS9dcL6v1TERuFu5kungiug,0.5047847,101.4464484,book_store
90,Toko Buku Aneka Jaya,ChIJjy58gKWu1TER6R6J2gXGBFY,0.5085143,101.4452959,book_store
91,Selekta. PD,ChIJ7z15gKSu1TERs1BTf4xOaFU,0.5083578,101.4508007,book_store
92,D'Round Cafe,ChIJFwTx2qWu1TERHi5t5H3WyFU,0.5101718999999999,101.4465402,cafe
93,Excelso,ChIJI3uo7kap1TER4nnMfaqu5BA,0.4992406,101.4187529,cafe
94,Nav,ChIJP_DB7Uap1TERfKFb0bYM4S4,0.5001019999999999,101.418917,cafe
95,Bola Kedai,ChIJL-gB6Yqr1TER5MAuGU2vE2E,0.5322595,101.445028,cafe
96,PETERSELI KITCHEN,ChIJ-YOvERSs1TER1tk3upFhaLs,0.510427,101.454093,cafe
97,"AISYAH ""SOP BUAH""",ChIJx-FVy66u1TERCAzO5MZ0dbA,0.5106849,101.441363,cafe
98,Gerobak Kopi Rambo,ChIJ9c2iGKKu1TER_Bn7_bdrjDM,0.5086729,101.4545201,cafe
